Name,Latitude,Longitude,Diameter
Bombelli,5.30,56.20,10.0
Bondarenko,-17.80,136.30,30.0
Bonpland,-8.30,-17.40,60.0
Boole,63.70,-87.40,63.0
Borda,-25.10,46.60,44.0
Borel,22.30,26.40,4.0
Boris,30.60,-33.50,10.0
Borman,-38.80,-147.70,50.0
Born,-6.00,66.80,14.0
Boscovich,9.80,11.10,46.0
Bose,-53.50,-168.60,91.0
Boss,45.80,89.20,47.0
Bouguer,52.30,-35.80,22.0
Boussingault,-70.20,54.60,142.0
Bowditch,-25.00,103.10,40.0
Bowen,17.60,9.10,8.0
Boyle,-53.10,178.10,57.0
Brackett,17.90,23.60,8.0
Bragg,42.50,-102.90,84.0
Brashear,-73.80,-170.70,55.0
Brayley,20.90,-36.90,14.0
Bredikhin,17.30,-158.20,59.0
Breislak,-48.20,18.30,49.0
Brenner,-39.00,39.30,97.0
Brewster,23.30,34.70,10.0
Brianchon,75.00,-86.20,134.0
Bridgman,43.50,137.10,80.0
Briggs,26.50,-69.10,37.0
Brisbane,-49.10,68.50,44.0
Bronk,26.10,-134.50,64.0
Brouwer,-36.20,-126.00,158.0
Brown,-46.40,-17.90,34.0
Bruce,1.10,0.40,6.0
Brunner,-9.90,90.90,53.0
Buch,-38.80,17.70,53.0
Buffon,-40.40,-133.40,106.0
Buisson,-1.40,112.50,56.0
Bullialdus,-20.70,-22.20,60.0
Bunsen,41.40,-85.30,52.0
Burckhardt,31.10,56.50,56.0
Bürg,45.00,28.20,39.0
Burnham,-13.90,7.30,24.0
Büsching,-38.00,20.00,52.0
Butlerov,12.50,-108.70,40.0
Buys-Ballot,20.80,174.50,55.0
Byrd,85.30,9.80,93.0
Byrgius,-24.70,-65.30,87.0
C. Herschel,34.50,-31.20,13.0
C. Mayer,63.20,17.30,38.0
Cabannes,-60.90,-169.60,80.0
Cabeus,-84.90,-35.50,98.0
Cajal,12.60,31.10,9.0
Cajori,-47.40,168.80,70.0
Calippus,38.90,10.70,32.0
Cameron,6.20,45.90,10.0
Campanus,-28.00,-27.80,48.0
Campbell,45.30,151.40,219.0
Cannizzaro,55.60,-99.60,56.0
Cannon,19.90,81.40,56.0
Cantor,38.20,118.60,0.0
Capella,-7.50,35.00,90.0
Capuanus,-34.10,-26.70,59.0
Cardanus,13.20,0.00,49.0
Carlini,33.70,-24.10,10.0
Carlos,24.90,2.30,4.0
Carmichael,19.60,40.40,20.0
Carnot,52.30,-143.50,126.0
Carol,8.50,122.30,117.0
Carpenter,69.40,-50.90,59.0
Carrel,10.70,26.70,15.0
Carrillo,-2.20,80.90,16.0
Carrington,44.00,62.10,30.0
Cartan,4.20,59.30,15.0
Carver,-43.00,126.90,59.0
Casatus,-72.80,-29.50,108.0
Cassegrain,-52.40,113.50,55.0
Cassini,40.20,4.60,56.0
Catalán,-45.70,-87.30,25.0
Catharina,-18.10,23.40,104.0
Cauchy,9.60,38.60,12.0
Cavalerius,5.10,-66.80,57.0
Cavendish,-24.50,-53.70,56.0
Caventou,29.80,-29.40,3.0
Cayley,4.00,15.10,14.0
Celsius,-34.10,20.10,36.0
Censorinus,-0.40,32.70,3.0
Cepheus,40.80,45.80,39.0
Chacornac,29.80,31.70,51.0
Chadwick,-52.70,-101.30,30.0
Chaffee,-38.80,-153.90,49.0
Challis,79.50,9.20,55.0
Chalonge,-21.20,-117.30,30.0
Chamberlin,-58.90,95.70,58.0
Champollion,37.40,175.20,58.0
Chandler,43.80,171.50,85.0
Chang Heng,19.00,112.20,43.0
Chang-Ngo,-12.70,-2.10,3.0
Chant,-40.00,-109.20,33.0
Chaplygin,-6.20,150.30,137.0
Chapman,50.40,-100.70,71.0
Chappe,-61.20,-91.50,59.0
Chappell,54.70,-177.00,80.0
Charles,29.90,-26.40,1.0
Charlier,36.60,-131.50,99.0
Chaucer,3.70,-140.00,45.0
Chauvenet,-11.50,137.00,81.0
Chebyshev,-33.70,-133.10,178.0
Chernyshev,47.30,174.20,58.0
Chevallier,44.90,51.20,52.0
Ching-Te,20.00,30.00,4.0
Chladni,4.00,1.10,13.0
Chrétien,-45.90,162.90,88.0
Christel,24.50,11.00,2.0
Cichus,-33.30,-21.10,40.0
Clairaut,-47.70,13.90,75.0
Clark,-38.40,118.90,49.0
Clausius,-36.90,-43.80,24.0
Clavius,-58.80,-14.10,245.0
Cleomedes,27.70,56.00,125.0
Cleostratus,60.40,-77.00,62.0
Clerke,21.70,29.80,6.0
Coblentz,-37.90,126.10,33.0
Cockcroft,31.30,-162.60,93.0
Collins,1.30,23.70,2.0
Colombo,-15.10,45.80,76.0
Compton,55.30,103.80,182.0
Comrie,23.30,-112.70,59.0
Comstock,21.80,-121.50,72.0
Condon,1.90,60.40,34.0
Condorcet,12.10,69.60,74.0
Congreve,-0.20,-167.30,57.0
Conon,21.60,2.00,21.0
Cook,-17.50,48.90,46.0
Cooper,52.90,175.60,36.0
Copernicus,9.70,-20.10,107.0
Cori,-50.60,-151.90,65.0
Coriolis,0.10,171.80,78.0
Couder,-4.80,-92.40,21.0
Coulomb,54.70,-114.60,89.0
Courtney,25.10,-30.80,1.0
Cremona,67.50,-90.60,85.0
Crile,14.20,46.00,9.0
Crocco,-47.50,150.20,75.0
Crommelin,-68.10,-146.90,94.0
Crookes,-10.30,-164.50,49.0
Crozier,-13.50,50.80,22.0
Crüger,-16.70,-66.80,45.0
Ctesibius,0.80,118.70,36.0
Curie,-22.90,91.00,151.0
Curtis,14.60,56.60,2.0
Curtius,-67.20,4.40,95.0
Cusanus,72.00,70.80,63.0
Cuvier,-50.30,9.90,75.0
Cyrano,-20.50,157.70,80.0
Cyrillus,-13.20,24.00,98.0
Cysatus,-66.20,-6.10,48.0
da Vinci,9.10,45.00,37.0
Daedalus,-5.90,179.40,93.0
Dag,18.70,5.30,0.0
Daguerre,-11.90,33.60,46.0
Dale,-9.60,82.90,22.0
D'Alembert,50.80,163.90,248.0
Dalton,17.10,-84.30,60.0
Daly,5.70,59.60,17.0
Damoiseau,-4.80,-61.10,36.0
Daniell,35.30,31.10,29.0
Danjon,-11.40,124.00,71.0
Dante,25.50,180.00,54.0
Darney,-14.50,-23.50,15.0
D'Arrest,2.30,14.70,30.0
D'Arsonval,-10.30,124.60,28.0
Darwin,-20.20,-69.50,120.0
Das,-26.60,-136.80,38.0
Daubrée,15.70,14.70,14.0
Davisson,-37.50,-174.60,87.0
Davy,-11.80,-8.10,34.0
Dawes,17.20,26.40,18.0
Dawson,-67.40,-134.70,45.0
De Forest,-77.30,-162.10,57.0
de Gasparis,-25.90,-50.70,30.0
De La Rue,59.10,52.30,134.0
De Moraes,49.50,143.20,53.0
De Morgan,3.30,14.90,10.0
De Roy,-55.30,-99.10,43.0
De Sitter,80.10,39.60,64.0
De Vico,-19.70,-60.20,20.0
De Vries,-19.90,-176.70,59.0
Debes,29.50,51.70,30.0
Debye,49.60,-176.20,142.0
Dechen,46.10,-68.20,12.0
Delambre,-1.90,17.50,51.0
Delaunay,-22.20,2.50,46.0
Delia,-10.90,-6.10,2.0
Delisle,29.90,-34.60,25.0
Dellinger,-6.80,140.60,81.0
Delmotte,27.10,60.20,32.0
Delporte,-16.00,121.60,45.0
Deluc,-55.00,-2.80,46.0
Dembowski,2.90,7.20,26.0
Democritus,62.30,35.00,39.0
Demonax,-77.90,60.80,128.0
Denning,-16.40,142.60,44.0
Desargues,70.20,-73.30,85.0
Descartes,-11.70,15.70,48.0
Deseilligny,21.10,20.60,6.0
Deslandres,-33.10,-4.80,256.0
